"('P1_l ', 'Nivel de Ensino')","('P0', 'id')","('P1_m ', 'Área de Formação')","('P2_h ', 'Faixa salarial')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P2_g ', 'Nivel')","('P4_d ', 'Quais das linguagens listadas abaixo você utiliza no trabalho?')","('P4_d_1 ', 'SQL')","('P4_d_2 ', 'R ')","('P4_d_3 ', 'Python')","('P4_d_4 ', 'C/C++/C#')","('P4_d_5 ', '.NET')","('P4_d_6 ', 'Java')","('P4_d_7 ', 'Julia')","('P4_d_8 ', 'SAS/Stata')","('P4_d_9 ', 'Visual Basic/VBA')","('P4_d_10 ', 'Scala')","('P4_d_11 ', 'Matlab')","('P4_d_12 ', 'Rust')","('P4_d_13 ', 'PHP')","('P4_d_14 ', 'JavaScript')","('P4_d_15 ', 'Não utilizo nenhuma linguagem')","('P1_b ', 'Genero')","('P1_c ', 'Cor/raca/etnia')","('P2_b ', 'Setor')","('P1_i_1 ', 'uf onde mora')","('P2_f ', 'Cargo Atual')","('P4_e ', 'Entre as linguagens listadas abaixo, qual é a que você mais utiliza no trabalho?')","('P2_o ', 'Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?')","('P2_o_1 ', 'Remuneração/Salário')","('P2_o_2 ', 'Benefícios')","('P2_o_3 ', 'Propósito do trabalho e da empresa')","('P2_o_4 ', 'Flexibilidade de trabalho remoto')","('P2_o_5 ', 'Ambiente e clima de trabalho')","('P2_o_6 ', 'Oportunidade de aprendizado e trabalhar com referências na área')","('P2_o_7 ', 'Plano de carreira e oportunidades de crescimento profissional')","('P2_o_8 ', 'Maturidade da empresa em termos de tecnologia e dados')","('P2_o_9 ', 'Qualidade dos gestores e líderes')","('P2_o_10 ', 'Reputação que a empresa tem no mercado')"
Pós-graduação,3yfzq12ygns17xsh83yfh3h1hcib0p8i,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,Sênior,"Python, SQL",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Setor Público,CE,Analista de BI/BI Analyst,SQL,"Oportunidade de aprendizado e trabalhar com referências na área, Remuneração/Salário, Benefícios",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,3ykrlvdm0of08lur3ykv8ht7xxjuaujv,Ciências Sociais,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Pleno,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Internet/Ecommerce,MG,Analista de Dados/Data Analyst,SQL,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,3ytjd11yp7z9bh4ab9o41n3ytjd4wu0k,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Internet/Ecommerce,RJ,Analista de Dados/Data Analyst,SQL,"Oportunidade de aprendizado e trabalhar com referências na área, Maturidade da empresa em termos de tecnologia e dados, Ambiente e clima de trabalho",0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Pós-graduação,3zxq3v3c8i2g0n3zxqe2u0zqqlw3syxh,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Pleno,"Python, Matlab, SQL",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Masculino,Branca,Tecnologia/Fábrica de Software,SP,Analista de Dados/Data Analyst,Python,"Remuneração/Salário, Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Estudante de Graduação,404u60c8b88p6756gbbm30h404u60c83,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Pleno,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Internet/Ecommerce,RJ,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Python,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Maturidade da empresa em termos de tecnologia e dados",1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Graduação/Bacharelado,406gxhku0ag4fcm0w3a8e2t406gxhkku,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Internet/Ecommerce,MG,Cientista de Dados/Data Scientist,Python,"Maturidade da empresa em termos de tecnologia e dados, Oportunidade de aprendizado e trabalhar com referências na área, Remuneração/Salário",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Mestrado,41ni4uwyzju8s1v47i41ni4q2gvxeibe,Outras Engenharias,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Sênior,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Branca,Indústria,SP,Outra Opção,Não utilizo nenhuma das linguagens listadas,"Remuneração/Salário, Flexibilidade de trabalho remoto, Qualidade dos gestores e líderes",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Estudante de Graduação,41x6tb5o114x9vhwjr1e41x6t3eryvh7,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,Júnior,"SQL, Python, Visual Basic/VBA",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Marketing,PR,Cientista de Dados/Data Scientist,SQL,Flexibilidade de trabalho remoto,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,4247ovillobuwllbzsam4247oqny2473,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Júnior,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Área da Saúde,RJ,Analista de Dados/Data Analyst,SQL,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,42a0121wrr39ywhs42a042ohkeedoz62,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Varejo,SP,Analista de Dados/Data Analyst,SQL,"Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional, Qualidade dos gestores e líderes",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Pós-graduação,42qudv2pruprchs42quyw7nq3b8n9ief,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Júnior,Python,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Seguros ou Previdência,PR,Analista de BI/BI Analyst,Python,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Maturidade da empresa em termos de tecnologia e dados",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Graduação/Bacharelado,42y2xjw726e2rbgrvxuo42y2xrdi3o3s,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Pleno,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Agronegócios,SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Python,"Plano de carreira e oportunidades de crescimento profissional, Qualidade dos gestores e líderes, Remuneração/Salário",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Mestrado,43qdi5h25p5f7m1h5sq4t43qdi5hugxm,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Pleno,"SQL, Python, .NET, C/C++/C#, PHP",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Masculino,Parda,Educação,MG,DBA/Administrador de Banco de Dados,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,43znhwolx5fiqdi4wm4q3c843znhprde,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Parda,Tecnologia/Fábrica de Software,BA,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,"Maturidade da empresa em termos de tecnologia e dados, Flexibilidade de trabalho remoto, Remuneração/Salário",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Pós-graduação,44epvakm4xgk5w44e0gz7oiw0pv3225f,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Sênior,"R, Python",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Indústria,SP,Analista de Negócios/Business Analyst,Python,"Flexibilidade de trabalho remoto, Ambiente e clima de trabalho, Plano de carreira e oportunidades de crescimento profissional",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Mestrado,45fr6cly2kyh181hu45fr6clgrx45clk,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Sênior,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Branca,Finanças ou Bancos,RS,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Não utilizo nenhuma das linguagens listadas,"Propósito do trabalho e da empresa, Remuneração/Salário, Ambiente e clima de trabalho",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Estudante de Graduação,465c2ho3qgz3zd4up465cz8zp6vgvoom,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Júnior,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Preta,Finanças ou Bancos,PR,Analista de BI/BI Analyst,SQL,"Remuneração/Salário, Ambiente e clima de trabalho, Reputação que a empresa tem no mercado",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Estudante de Graduação,469d88b9dfafwwu8n469d88m8pgg9qsl,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 6 anos,Pleno,"SQL, .NET, C/C++/C#, PHP, JavaScript",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Feminino,Parda,Finanças ou Bancos,SP,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,SQL,"Remuneração/Salário, Ambiente e clima de trabalho, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pós-graduação,46bs6t3qdlh89b2f46bs6bmg33i8yuy3,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,Pleno,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Parda,Educação,MG,Analista de Inteligência de Mercado/Market Intelligence,Não utilizo nenhuma das linguagens listadas,"Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados, Benefícios",0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Estudante de Graduação,46ne9of0ve9odhrzwo03j846ne9of0v2,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Sênior,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Setor Farmaceutico,SP,DBA/Administrador de Banco de Dados,SQL,"Remuneração/Salário, Ambiente e clima de trabalho, Qualidade dos gestores e líderes",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Estudante de Graduação,46zgxwfo6optv5r2bom47u7u46zgxwi5,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Júnior,Python,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Tecnologia/Fábrica de Software,SP,Analista de Negócios/Business Analyst,Python,"Oportunidade de aprendizado e trabalhar com referências na área, Maturidade da empresa em termos de tecnologia e dados, Flexibilidade de trabalho remoto",0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Doutorado ou Phd,479hlx0xcsdtxh4479h78ponoms8l7f7,Química / Física,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Sênior,"Python, SQL",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Educação,BA,Professor/Pesquisador,Python,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Pós-graduação,47t7r49tyo3svei5sncm0h47t7rqkkcx,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Sênior,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Área da Saúde,SP,Analista de BI/BI Analyst,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Mestrado,47ysc3or7rhnlzl47ysc6gbm66l8thpn,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 3.001/mês a R$ 4.000/mês,Não tenho experiência na área de dados,Júnior,Python,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Educação,SP,Outra Opção,Python,"Flexibilidade de trabalho remoto, Remuneração/Salário, Ambiente e clima de trabalho",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,484hyp8wendxkn748me88d4ci7fvstnm,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 6.001/mês a R$ 8.000/mês,Mais de 10 anos,Júnior,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Parda,Indústria,PR,Analista de Negócios/Business Analyst,Não utilizo nenhuma das linguagens listadas,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Benefícios",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mestrado,48mpstyw9y34u48mpstuakzjrsxizj13,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Sênior,Python,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Telecomunicação,SP,Cientista de Dados/Data Scientist,Python,"Remuneração/Salário, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Graduação/Bacharelado,48yxga4x3p3fvqpm3sf48yxg2i2fjvm5,Ciências Sociais,de R$ 2.001/mês a R$ 3.000/mês,Não tenho experiência na área de dados,Pleno,Python,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Setor Alimentício,PR,Outra Opção,Python,"Plano de carreira e oportunidades de crescimento profissional, Oportunidade de aprendizado e trabalhar com referências na área, Ambiente e clima de trabalho",0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Mestrado,497n9no4l0lobf79a49w4myvpz8pr6rn,Química / Física,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Júnior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Prefiro não informar,Preta,Tecnologia/Fábrica de Software,RJ,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Python,"Remuneração/Salário, Flexibilidade de trabalho remoto, Benefícios",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,49iwjmd83sfvizw7xht6o8l49iwjmd8j,Outras Engenharias,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,Júnior,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feminino,Parda,Outra Opção,MG,Analista de BI/BI Analyst,Não utilizo nenhuma das linguagens listadas,"Remuneração/Salário, Flexibilidade de trabalho remoto, Reputação que a empresa tem no mercado",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Estudante de Graduação,4a1s63onitq75h4a1s6u81eox9qkv1dg,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Júnior,Python,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Educação,RS,Cientista de Dados/Data Scientist,Python,"Remuneração/Salário, Benefícios, Plano de carreira e oportunidades de crescimento profissional",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mestrado,4a67k7kuz97dju84a67kfa2dks1jkcx6,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,AL,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),SQL,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Flexibilidade de trabalho remoto",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,4b39qg6lkriwrzacl3g4b39qg6ev6yba,Outra opção,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Júnior,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Branca,Outra Opção,MG,Analista de Dados/Data Analyst,Não utilizo nenhuma das linguagens listadas,"Plano de carreira e oportunidades de crescimento profissional, Oportunidade de aprendizado e trabalhar com referências na área",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mestrado,4b8c9xrtez8ofa1d4b89vmdmhb04l0hy,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Tecnologia/Fábrica de Software,MG,Cientista de Dados/Data Scientist,SQL,"Remuneração/Salário, Propósito do trabalho e da empresa, Oportunidade de aprendizado e trabalhar com referências na área",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,4bksnfhl3u8rw32xkna64bksno48gjn3,Marketing / Publicidade / Comunicação / Jornalismo,de R$ 3.001/mês a R$ 4.000/mês,de 4 a 6 anos,Pleno,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Parda,Educação,SC,Analista de Inteligência de Mercado/Market Intelligence,Não utilizo nenhuma das linguagens listadas,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,4bm6svcdx1qpy5pofu4bm6svebowo6g1,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Júnior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Outra Opção,MG,Analista de Dados/Data Analyst,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Pós-graduação,4brablf28v75z7hvwpd4branwtip5v2t,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Júnior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Tecnologia/Fábrica de Software,CE,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Python,"Remuneração/Salário, Flexibilidade de trabalho remoto, Benefícios",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Doutorado ou Phd,4c9dihibixa4lxy4czvggwfwbs2tju9q,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Pleno,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Tecnologia/Fábrica de Software,SP,Analista de Dados/Data Analyst,Python,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Doutorado ou Phd,4cju9jur83r5ay4cr95hekoa3g2dd4wr,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Júnior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Parda,Área de Consultoria,PE,Analista de Negócios/Business Analyst,SQL,"Benefícios, Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,4d7c07vjgv8zq2r25ec4d7c07vjhdfck,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Júnior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Amarela,Tecnologia/Fábrica de Software,SP,Analista de Dados/Data Analyst,SQL,"Remuneração/Salário, Benefícios, Plano de carreira e oportunidades de crescimento profissional",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,4dd2gapbo2fuxr5224dd2a2ljcgzzxai,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Varejo,SP,Analista de BI/BI Analyst,SQL,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,4f35hl80nhafzga8s4f35hquyt2z13o4,Outra opção,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Sênior,"SQL, Python, Visual Basic/VBA",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Varejo,MG,Analista de Dados/Data Analyst,SQL,"Remuneração/Salário, Benefícios, Plano de carreira e oportunidades de crescimento profissional",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,4f9ouaq1h8seofjzhk4f9ou70a386pt6,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Júnior,"Python, SQL",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Área de Consultoria,SP,Cientista de Dados/Data Scientist,Python,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,4fbs7roq0kaiinmelbt84fbs7ra0v4rz,Marketing / Publicidade / Comunicação / Jornalismo,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Sênior,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Indústria,SP,Outra Opção,SQL,"Remuneração/Salário, Benefícios, Ambiente e clima de trabalho",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mestrado,4fjflyfcspk6owc5dh4fjagf8cfxyqsg,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,Pleno,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Área da Saúde,SP,Cientista de Dados/Data Scientist,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
